file,shape,W_max,W_2norm,W_frob,W_frob_over_2norm,status,path
ISDF_diamond_1x1x1_gth-dzvp_c5.chk,"(1, 130, 130)",5.6,20.2,37.3,1.8,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_1x1x1_gth-dzvp_c5.chk
ISDF_diamond_1x1x1_gth-dzvp_c12_ref.chk,"(1, 130, 130)",7.7,27.4,51.0,1.9,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_1x1x1_gth-dzvp_c12_ref.chk
ISDF_diamond_2x2x2_gth-dzvp_c5.chk,"(8, 130, 130)",13.9,71.4,106.6,1.5,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_2x2x2_gth-dzvp_c5.chk
ISDF_diamond_2x2x2_gth-dzvp_c10.chk,"(8, 260, 260)",2.0,16.0,29.7,1.9,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_2x2x2_gth-dzvp_c10.chk
ISDF_diamond_2x2x2_gth-dzvp_c12_ref.chk,"(8, 312, 312)",2.1,20.7,45.2,2.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_2x2x2_gth-dzvp_c12_ref.chk
ISDF_diamond_2x2x2_gth-dzvp_c20_ref.chk,"(8, 520, 520)",13.9,102.6,175.7,1.7,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_2x2x2_gth-dzvp_c20_ref.chk
ISDF_diamond_3x3x3_gth-dzvp_c5.chk,"(27, 130, 130)",27.5,172.7,204.3,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_3x3x3_gth-dzvp_c5.chk
ISDF_diamond_3x3x3_gth-dzvp_c10.chk,"(27, 260, 260)",2.9,31.6,43.2,1.4,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_3x3x3_gth-dzvp_c10.chk
ISDF_diamond_3x3x3_gth-dzvp_c12_ref.chk,"(27, 312, 312)",4.1,50.7,77.2,1.5,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_3x3x3_gth-dzvp_c12_ref.chk
ISDF_diamond_3x3x3_gth-dzvp_c20_ref.chk,"(27, 520, 520)",7.3,88.0,141.7,1.6,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_3x3x3_gth-dzvp_c20_ref.chk
ISDF_diamond_4x4x4_gth-dzvp_c5.chk,"(64, 130, 130)",21.8,255.5,297.5,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_4x4x4_gth-dzvp_c5.chk
ISDF_diamond_4x4x4_gth-dzvp_c10.chk,"(64, 260, 260)",2.9,59.9,74.4,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_4x4x4_gth-dzvp_c10.chk
ISDF_diamond_4x4x4_gth-dzvp_c12_ref.chk,"(64, 312, 312)",3.1,64.6,84.3,1.3,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_4x4x4_gth-dzvp_c12_ref.chk
ISDF_diamond_4x4x4_gth-dzvp_c20_ref.chk,"(64, 520, 520)",11.1,168.9,247.3,1.5,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_4x4x4_gth-dzvp_c20_ref.chk
ISDF_diamond_5x5x5_gth-dzvp_c5.chk,"(125, 130, 130)",52.4,415.9,470.2,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_5x5x5_gth-dzvp_c5.chk
ISDF_diamond_5x5x5_gth-dzvp_c10.chk,"(125, 260, 260)",5.6,92.1,107.3,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_5x5x5_gth-dzvp_c10.chk
ISDF_diamond_5x5x5_gth-dzvp_c12_ref.chk,"(125, 312, 312)",4.4,101.7,123.8,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_5x5x5_gth-dzvp_c12_ref.chk
ISDF_diamond_5x5x5_gth-dzvp_c20_ref.chk,"(125, 520, 520)",13.8,255.6,358.7,1.4,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_5x5x5_gth-dzvp_c20_ref.chk
ISDF_diamond_6x6x6_gth-dzvp_c5.chk,"(216, 130, 130)",69.1,740.1,856.4,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_6x6x6_gth-dzvp_c5.chk
ISDF_diamond_6x6x6_gth-dzvp_c12_ref.chk,"(216, 312, 312)",10.3,234.3,297.9,1.3,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_6x6x6_gth-dzvp_c12_ref.chk
ISDF_diamond_6x6x6_gth-dzvp_c20_ref.chk,"(216, 520, 520)",20.3,382.2,530.6,1.4,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDF_diamond_6x6x6_gth-dzvp_c20_ref.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c5.chk,"(8, 130, 130)",4.4,24.3,31.8,1.3,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c5.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c6.chk,"(8, 156, 156)",4.5,21.1,28.7,1.4,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c6.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c8.chk,"(8, 208, 208)",3.4,16.1,23.7,1.5,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c8.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c10.chk,"(8, 260, 260)",2.6,13.9,21.6,1.6,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c10.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c12.chk,"(8, 312, 312)",2.2,11.1,17.7,1.6,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c12.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c15.chk,"(8, 390, 390)",1.3,9.5,15.2,1.6,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c15.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c20.chk,"(8, 520, 520)",84.8,442.7,1780.4,4.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-dzvp_c20.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c5.chk,"(8, 40, 40)",14.4,67.0,79.1,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c5.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c6.chk,"(8, 48, 48)",23.1,109.9,135.6,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c6.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c8.chk,"(8, 64, 64)",45.0,157.4,187.0,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c8.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c10.chk,"(8, 80, 80)",19.4,67.3,101.8,1.5,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c10.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c12.chk,"(8, 96, 96)",15.2,71.7,90.9,1.3,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c12.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c15.chk,"(8, 120, 120)",9.7,39.5,54.5,1.4,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c15.chk
ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c20.chk,"(8, 160, 160)",9.5,38.1,55.1,1.4,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_2x2x2_gth-szv_c20.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c5.chk,"(27, 130, 130)",6.0,44.6,47.7,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c5.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c6.chk,"(27, 156, 156)",5.5,40.0,44.5,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c6.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c8.chk,"(27, 208, 208)",4.1,28.3,31.8,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c8.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c10.chk,"(27, 260, 260)",3.2,22.4,25.8,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c10.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c12.chk,"(27, 312, 312)",2.4,21.7,25.9,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c12.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c15.chk,"(27, 390, 390)",1.4,16.7,20.0,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c15.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c20.chk,"(27, 520, 520)",27.3,265.3,1212.6,4.6,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-dzvp_c20.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c5.chk,"(27, 40, 40)",18.8,133.8,136.5,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c5.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c6.chk,"(27, 48, 48)",40.7,234.7,240.2,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c6.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c8.chk,"(27, 64, 64)",66.1,267.9,278.2,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c8.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c10.chk,"(27, 80, 80)",24.4,116.8,132.4,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c10.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c12.chk,"(27, 96, 96)",18.1,107.6,119.9,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c12.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c15.chk,"(27, 120, 120)",8.9,58.5,65.3,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c15.chk
ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c20.chk,"(27, 160, 160)",12.4,58.5,67.4,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_3x3x3_gth-szv_c20.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c5.chk,"(64, 130, 130)",8.6,79.6,81.2,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c5.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c6.chk,"(64, 156, 156)",7.3,70.7,73.3,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c6.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c8.chk,"(64, 208, 208)",5.3,49.5,51.6,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c8.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c10.chk,"(64, 260, 260)",4.2,39.5,41.6,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c10.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c12.chk,"(64, 312, 312)",3.0,38.9,41.3,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c12.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c15.chk,"(64, 390, 390)",1.9,29.2,31.3,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c15.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c20.chk,"(64, 520, 520)",96.6,824.1,3691.2,4.5,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-dzvp_c20.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c5.chk,"(64, 40, 40)",33.8,270.6,271.7,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c5.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c6.chk,"(64, 48, 48)",70.3,469.5,471.6,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c6.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c8.chk,"(64, 64, 64)",114.5,487.1,492.1,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c8.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c10.chk,"(64, 80, 80)",33.3,186.1,192.4,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c10.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c12.chk,"(64, 96, 96)",25.5,183.3,190.7,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c12.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c15.chk,"(64, 120, 120)",11.5,101.0,104.9,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c15.chk
ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c20.chk,"(64, 160, 160)",17.1,99.8,105.6,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_4x4x4_gth-szv_c20.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c5.chk,"(125, 130, 130)",11.6,123.2,124.2,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c5.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c6.chk,"(125, 156, 156)",9.6,108.8,110.4,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c6.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c8.chk,"(125, 208, 208)",6.9,75.9,77.2,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c8.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c10.chk,"(125, 260, 260)",5.6,61.2,62.5,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c10.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c12.chk,"(125, 312, 312)",3.8,60.2,61.7,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c12.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c15.chk,"(125, 390, 390)",2.5,49.4,53.3,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c15.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c20.chk,"(125, 520, 520)",152.9,1361.0,6242.9,4.6,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-dzvp_c20.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c5.chk,"(125, 40, 40)",50.8,429.0,429.6,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c5.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c6.chk,"(125, 48, 48)",104.8,738.7,739.7,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c6.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c8.chk,"(125, 64, 64)",169.6,747.3,750.1,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c8.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c10.chk,"(125, 80, 80)",46.7,284.6,288.5,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c10.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c12.chk,"(125, 96, 96)",36.8,274.5,279.2,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c12.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c15.chk,"(125, 120, 120)",14.9,154.5,157.0,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c15.chk
ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c20.chk,"(125, 160, 160)",23.4,150.5,154.3,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_5x5x5_gth-szv_c20.chk
ISDFfull_bareGDF_diamond_6x6x6_gth-dzvp_c5.chk,"(216, 130, 130)",14.8,173.9,174.5,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_6x6x6_gth-dzvp_c5.chk
ISDFfull_bareGDF_diamond_6x6x6_gth-dzvp_c6.chk,"(216, 156, 156)",12.4,152.6,153.7,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_6x6x6_gth-dzvp_c6.chk
ISDFfull_bareGDF_diamond_6x6x6_gth-dzvp_c8.chk,"(216, 208, 208)",8.7,106.5,107.3,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_6x6x6_gth-dzvp_c8.chk
