family,mesh,c,M,n_k,n_occ,n_vir,xo_op,xv_op,xo_2inf,xv_2inf,w_op_max,w_fro_max,w_l1_mean,alpha_lcu_dir,alpha_lcu_exch,alpha_lcu_exch_max,max_Q_S_Q,alpha_embed_op,alpha_embed_fro,alpha_embed_l1,alpha_embed_op_mod,alpha_embed_op_2inf,alpha_embed_l1_2inf,exch_over_dir,q_concentration,k_participation,dft_pkl
ISDFfull_bareGDF,2x2x2,5,130,8,4,22,1.741258031,4.338315058,0.4365319631,2.023916955,37.53733582,45.87407999,2347.007876,53.42088191,338.7752688,48.21726961,385.7381569,2142.061261,2617.796056,133931.5788,466.2030258,29.30089728,1832.027639,6.34163,1.13863,0.792703,DFT_2x2x2.pkl
ISDFfull_bareGDF,2x2x2,6,156,8,4,22,1.831230901,4.342999868,0.4365319631,2.023916955,29.52668877,35.64599191,2332.616692,48.7410248,309.9308608,44.47039587,355.7631669,1867.585937,2254.6366,147539.8127,405.5891606,23.04794562,1820.794167,6.35873,1.14788,0.794841,DFT_2x2x2.pkl
ISDFfull_bareGDF,2x2x2,8,208,8,4,22,2.06333546,4.717569251,0.4365319631,2.075485594,23.25534046,29.90785209,2940.350637,57.3719378,361.3946729,51.27396973,410.1917579,2203.428456,2833.749627,278596.3196,426.483106,19.08948648,2413.629842,6.29915,1.13502,0.787394,DFT_2x2x2.pkl
ISDFfull_bareGDF,2x2x2,24,624,8,4,22,3.234302245,5.531870732,0.4365319631,2.075485594,7.166638958,35.1971233,10180.34576,191.2419537,1204.660227,193.5676253,1548.541002,2294.14454,11267.10704,3258875.571,322.9357885,5.882840447,8356.685766,6.29914,1.28546,0.787393,DFT_2x2x2.pkl
ISDFfull_bareGDF,3x3x3,5,130,27,4,22,1.779278856,4.007217451,0.4362043371,2.262706586,77.41437978,81.57139656,3674.312822,83.10436472,1750.528163,88.63998215,2393.279518,3935.459926,4146.78724,186788.4352,1254.775863,75.41505968,3579.419244,21.0642,1.36718,0.780156,DFT_3x3x3.pkl
ISDFfull_bareGDF,3x3x3,6,156,27,4,22,1.847506168,4.287442962,0.4362043371,2.262706586,44.62412082,48.0879794,2923.231858,61.76597087,1299.570875,65.47195525,1767.742792,2799.872003,3017.206495,183413.6984,779.8264269,43.47164886,2847.735856,21.0402,1.36025,0.779268,DFT_3x3x3.pkl
ISDFfull_bareGDF,3x3x3,8,208,27,4,22,2.068111998,4.329743809,0.4362043371,2.262706586,43.66634879,49.32855256,4520.516069,90.66833247,1905.205119,95.14604295,2568.94316,3501.219893,3955.22214,362460.3665,956.2060108,42.53861246,4403.768267,21.0129,1.34838,0.778256,DFT_3x3x3.pkl
ISDFfull_bareGDF,3x3x3,24,624,27,4,22,3.222100047,5.441436532,0.4362043371,2.380945686,9.543850258,21.90798987,6214.442136,116.6783882,2451.222886,143.8371629,3883.603398,2933.788455,6734.536486,1910325.299,561.6951011,10.29443586,6703.183126,21.0084,1.58435,0.778088,DFT_3x3x3.pkl
ISDFfull_bareGDF,4x4x4,5,130,64,4,22,1.779732487,4.082702406,0.436479575,2.30746814,120.9094536,122.6162227,3571.009012,81.29870065,4022.669915,130.8402792,8373.777866,6383.592618,6473.704006,188536.6784,2039.112284,122.6477362,3622.348446,49.4801,2.08165,0.773127,DFT_4x4x4.pkl
ISDFfull_bareGDF,4x4x4,6,156,64,4,22,1.847955286,4.340924326,0.436479575,2.30746814,78.34810259,80.42277808,3348.929027,71.1252184,3510.582235,110.1154861,7047.391113,5041.686421,5175.191418,215502.9853,1424.566827,79.47449213,3397.075676,49.3578,2.00747,0.771215,DFT_4x4x4.pkl
