checkpoint,kmesh,M,n_k,n_occ,n_vir,xo_op,xv_op,xo_2inf,xv_2inf,w_op_max,w_fro_max,w_l1_mean,alpha_lcu_dir,alpha_lcu_exch,alpha_lcu_exch_max,alpha_embed_op,alpha_embed_fro,alpha_embed_l1,alpha_embed_op_mod,alpha_embed_op_2inf,alpha_embed_l1_2inf,k_participation,q_concentration,dft_pkl
ISDFov_bareGDF_symm_2x2x2_c5.chk,2x2x2,136,8,4,22,1.994858327,5.345946613,0.4316107233,1.539892653,79.20764536,113.2666495,7341.660474,341.16441,2080.449178,271.567209,9008.250486,12881.76596,834963.7997,747.4327317,34.98907399,3243.094784,0.762260481,1.044263755,DFT_2x2x2_symm.pkl
ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm0.1p2.chk,2x2x2,136,8,4,22,6.27640505,8.081770504,2.325756529,5.170120309,0.005868105145,0.03122673034,2.170481451,30.13164475,186.0763864,25.41135689,15.09846653,80.34548313,5584.586632,6.179041496,0.8484527923,313.8237987,0.7719309216,1.092512914,DFT_2x2x2_symm.pkl
ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm0.1p2_xv2inf.chk,2x2x2,136,8,4,22,3.863508983,14.53558632,0.9491012876,5.165080044,0.01345297388,0.0262337868,2.131965806,28.81404217,183.1728568,25.09112861,42.42748225,82.73512859,6723.713449,5.357180311,0.3232939195,51.23414257,0.7946336358,1.095844835,DFT_2x2x2_symm.pkl
ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm0.4p2.chk,2x2x2,136,8,4,22,9.57383417,10.59845086,3.323799749,7.156276165,0.001095397951,0.006100251674,0.4345088476,27.23553875,171.5715568,22.55608045,11.27790694,62.80646282,4473.579983,5.141832315,0.6197489637,245.8343179,0.7874433769,1.051739851,DFT_2x2x2_symm.pkl
ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm0.4p2_xv2inf.chk,2x2x2,136,8,4,22,6.44937425,54.67910556,1.914846316,17.77579121,0.0002410419936,0.0009300796023,0.06594191582,26.7950269,172.7132923,23.04928862,29.97579243,115.6639666,8200.484702,3.168004211,0.2792662406,76.39893221,0.8057152402,1.067632413,DFT_2x2x2_symm.pkl
ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm1.6p2.chk,2x2x2,136,8,4,22,9.029589531,10.76753277,3.413918576,8.06255588,0.0008457493429,0.003948869171,0.2084962848,24.63978151,155.775952,20.39696777,7.994845772,37.32855398,1970.909768,4.482529551,0.6407571512,157.9610869,0.7902665045,1.047502776,DFT_2x2x2_symm.pkl
ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm1.6p2_xv2inf.chk,2x2x2,136,8,4,22,10.033673,107.5062573,2.743824697,32.01298067,2.319934007e-05,0.0001146412722,0.008732996788,27.69940958,185.164099,23.77868529,26.99373637,133.3915651,10161.33271,2.393578866,0.1789948672,67.37957183,0.8355958747,1.027356185,DFT_2x2x2_symm.pkl
ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm6.4p2.chk,2x2x2,136,8,4,22,8.07549118,10.03568854,3.277799135,8.169831774,0.0008770920694,0.00324107757,0.11274387,20.18675736,129.6597925,17.03162402,5.760728762,21.28735332,740.5002019,3.817766004,0.6289789117,80.8507101,0.8028765478,1.050849994,DFT_2x2x2_symm.pkl
ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm6.4p2_xv2inf.chk,2x2x2,136,8,4,22,12.50364544,144.0590808,3.391811845,42.39586105,7.308726143e-06,3.489184323e-05,0.00290582869,27.27708341,182.1716825,23.08338228,23.71353331,113.2083581,9428.108822,2.053817784,0.1511304984,60.08698775,0.8348202032,1.013697934,DFT_2x2x2_symm.pkl
ISDFov_opt_bareGDF_3x3x3_c5_cref20_norm0.1p2.chk,3x3x3,136,27,4,22,10.49501851,12.46464669,3.624049846,6.983200334,0.001506999157,0.005926300523,0.4187410349,31.69675916,633.2881083,26.43775774,25.78928927,101.4168308,7165.918857,8.094470225,0.9651844952,268.1901662,0.7399846465,1.127163845,DFT_3x3x3_symm.pkl
