# label c Nk nthc nblocks max_mult original_cost new_cost ratio opt_cost opt_ratio exact_opt_cost exact_opt_ratio
diamond_2x2x2 5 8 130 20 24 4.19e+03 5.26e+02 7.97e+00 3.72e+02 1.13e+01 2.76e+02 1.52e+01
diamond_3x3x3 5 27 130 22 44 7.70e+03 1.37e+03 5.63e+00 9.23e+02 8.34e+00 6.77e+02 1.14e+01
diamond_4x4x4 5 64 130 36 80 1.19e+04 4.29e+03 2.76e+00 2.26e+03 5.24e+00 1.32e+03 8.95e+00
diamond_5x5x5 5 125 130 40 80 1.66e+04 4.53e+03 3.66e+00 2.77e+03 5.98e+00 1.91e+03 8.67e+00
diamond_6x6x6 5 216 130 57 80 2.18e+04 5.40e+03 4.03e+00 3.43e+03 6.35e+00 2.54e+03 8.56e+00
MgO_2x2x2 5 8 135 24 23 4.44e+03 5.40e+02 8.21e+00 3.82e+02 1.16e+01 2.80e+02 1.58e+01
MgO_3x3x3 5 27 135 20 46 8.15e+03 1.40e+03 5.84e+00 9.36e+02 8.71e+00 7.21e+02 1.13e+01
MgO_4x4x4 5 64 135 43 83 1.25e+04 4.96e+03 2.53e+00 2.48e+03 5.06e+00 1.39e+03 9.01e+00
MgO_5x5x5 5 125 135 38 83 1.75e+04 4.66e+03 3.76e+00 2.88e+03 6.09e+00 2.02e+03 8.70e+00
MgO_6x6x6 5 216 135 64 83 2.31e+04 6.05e+03 3.81e+00 3.69e+03 6.24e+00 2.67e+03 8.65e+00
