material,basis,family,mesh,c,M,n_k,n_occ,n_vir,xo_op,xv_op,xo_2inf,xv_2inf,w_op_max,alpha_op,alpha_mod_v,alpha_mod_o,checkpoint,dft_pkl
AlN,gth-cc-pvdz,ISDFov_opt_bareGDF,2x2x2,5,260,8,8,44,15.12442322,17.73393332,5.902858598,12.88419689,0.00021388581,15.38685136,8.121837981,2.343780167,ISDFov_opt_bareGDF_2x2x2_c5_cref16_norm0.1p2.chk,DFT_2x2x2.pkl
AlN,gth-cc-pvdz,ISDFov_opt_bareGDF,3x3x3,5,260,27,8,44,28.02989287,30.32913273,9.722574493,16.00908659,2.754772964e-05,19.90896445,5.547046355,2.395346548,ISDFov_opt_bareGDF_3x3x3_c5_cref16_norm0.1p2.chk,DFT_3x3x3.pkl
AlN,gth-cc-pvdz,ISDFov_opt_bareGDF,4x4x4,5,260,64,8,44,40.07077004,43.90652233,14.3322078,21.9789783,8.269673972e-06,25.59775299,6.414440269,3.274708594,ISDFov_opt_bareGDF_4x4x4_c5_cref16_norm0.1p2.chk,DFT_4x4x4.pkl
AlN,gth-cc-pvdz,ISDFov_opt_bareGDF,5x5x5,5,260,125,8,44,54.81038467,61.78991884,19.75569627,29.11064402,2.65774033e-06,30.48410833,6.766153933,3.960340049,ISDFov_opt_bareGDF_5x5x5_c5_cref16_norm0.1p2.chk,DFT_5x5x5.pkl
BN,gth-cc-pvdz,ISDFov_opt_bareGDF,2x2x2,5,130,8,4,22,8.764869998,11.03609529,3.905655534,7.033665368,0.001519459383,14.21709732,5.774886571,2.822980337,ISDFov_opt_bareGDF_2x2x2_c5_cref12_norm0.1p2.chk,DFT_2x2x2.pkl
BN,gth-cc-pvdz,ISDFov_opt_bareGDF,3x3x3,5,130,27,4,22,16.16299018,18.8277333,6.583912097,12.06558485,0.000253740075,23.49787331,9.65004278,3.898999571,ISDFov_opt_bareGDF_3x3x3_c5_cref12_norm0.1p2.chk,DFT_3x3x3.pkl
BN,gth-cc-pvdz,ISDFov_opt_bareGDF,4x4x4,5,130,64,4,22,29.49772436,31.56033429,10.42392756,16.65726402,3.789028449e-05,32.8388607,9.147706686,4.100849435,ISDFov_opt_bareGDF_4x4x4_c5_cref12_norm0.1p2.chk,DFT_4x4x4.pkl
BN,gth-cc-pvdz,ISDFov_opt_bareGDF,5x5x5,5,130,125,4,22,42.50210184,43.0581254,16.35899134,21.93914401,1.193357693e-05,39.96701273,10.37602024,5.920984428,ISDFov_opt_bareGDF_5x5x5_c5_cref12_norm0.1p2.chk,DFT_5x5x5.pkl
BN,gth-cc-pvdz,ISDFov_opt_bareGDF,6x6x6,5,130,216,4,22,53.53832538,53.49949113,19.40627362,25.10632534,5.564966295e-06,45.6553216,10.05445208,5.998548047,ISDFov_opt_bareGDF_6x6x6_c5_cref12_norm0.1p2.chk,DFT_6x6x6.pkl
CdSebulk,gth-dzvp-molopt-sr,ISDFov_opt_bareGDF,2x2x2,5,380,8,18,58,21.78089836,23.89526834,8.641711259,15.02403808,5.282879737e-05,14.31021388,5.657123406,2.252651718,ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm0.1p2.chk,DFT_2x2x2.pkl
CdSebulk,gth-dzvp-molopt-sr,ISDFov_opt_bareGDF,3x3x3,5,380,27,18,58,39.22646905,40.11845371,14.7325552,22.30717175,7.618662888e-06,18.86798676,5.833459857,2.661480462,ISDFov_opt_bareGDF_3x3x3_c5_cref20_norm0.1p2.chk,DFT_3x3x3.pkl
MgO,gth-cc-pvdz,ISDFov_opt_bareGDF,2x2x2,5,135,8,8,19,9.006244165,11.24444112,5.23947484,7.221272084,0.001073793121,11.01244621,4.54187804,3.727107205,ISDFov_opt_bareGDF_2x2x2_c5_cref20_norm0.1p2.chk,DFT_2x2x2.pkl
