material,mesh,c,nkpts,M,n_groups,n_ao,n_ops,AO_compression,AO_dense,AO_independent,AO_max_mult,AO_nblocks,W_compression,W_dense,W_independent,W_max_mult,W_nblocks,W_symmetry_relfro,Wcost_exact_opt_cost,Wcost_exact_opt_ratio,Wcost_max_mult,Wcost_nblocks,Wcost_new_cost,Wcost_opt_cost,Wcost_opt_ratio,Wcost_original_cost,Wcost_ratio,X_compression,X_dense,X_independent,X_max_mult,X_nblocks,X_symmetry_relfro,ao_commutator_relfro,ao_rep_size,grid_invariance_relfro,grid_rep_size
MgO,2x2x2,5,8,140,8,27,48,198.536,46656,235,7,14,343.483,1254400,3652,23,24,2.60074e-16,280,15.8,23,24,540,382,11.6,4440,8.21,37.2414,30240,812,23,14,2.58585e-16,4.87461e-16,216,8.46115e-16,1120
MgO,3x3x3,5,27,140,8,27,48,825.219,531441,644,13,14,1202.52,14288400,11882,46,20,2.6814e-16,721,11.3,46,20,1400,936,8.71,8150,5.84,40.3081,102060,2532,46,14,3.18689e-16,8.37656e-16,729,1.14598e-15,3780
MgO,4x4x4,5,64,140,8,27,48,2166.9,2985984,1378,19,31,2903.28,80281600,27652,83,43,2.58474e-16,1390,9.01,83,43,4960,2480,5.06,12500,2.53,42.0292,241920,5756,83,31,2.49965e-16,7.80619e-16,1728,1.01822e-15,8960
MgO,5x5x5,5,125,140,8,27,48,4530.88,11390625,2514,19,30,5734.48,306250000,53405,83,38,2.5741e-16,2020,8.7,83,38,4660,2880,6.09,17500,3.76,43.1113,472500,10960,83,30,3.00787e-16,8.58558e-16,3375,7.84194e-16,17500
MgO,6x6x6,5,216,140,8,27,48,8176.02,34012224,4160,19,50,9983.16,914457600,91600,83,64,2.5711e-16,2670,8.65,83,64,6050,3690,6.24,23100,3.81,43.8685,816480,18612,83,50,2.89237e-16,9.6931e-16,5832,1.08468e-15,30240
diamond,2x2x2,5,8,136,7,26,48,262.206,43264,165,6,14,349.806,1183744,3384,24,20,2.73004e-16,276,15.2,24,20,526,372,11.3,4190,7.97,39.619,28288,714,24,14,3.99946e-16,5.81707e-16,208,6.1612e-16,1088
diamond,3x3x3,5,27,136,7,26,48,993.556,492804,496,10,17,1217.81,13483584,11072,44,22,2.8283e-16,677,11.4,44,22,1370,923,8.34,7700,5.63,42.1324,95472,2266,44,17,4.28928e-16,6.03371e-16,702,8.30174e-16,3672
diamond,4x4x4,5,64,136,7,26,48,2503.52,2768896,1106,18,29,2931.87,75759616,25840,80,36,2.68902e-16,1320,8.95,80,36,4290,2260,5.24,11900,2.76,43.4865,226304,5204,80,29,3.87295e-16,6.21606e-16,1664,8.46158e-16,8704
diamond,5x5x5,5,125,136,7,26,48,5083.01,10562500,2078,18,34,5780,289000000,50000,80,40,2.672e-16,1910,8.67,80,40,4530,2770,5.98,16600,3.66,44.333,442000,9970,80,34,4.13896e-16,5.65196e-16,3250,8.06074e-16,17000
diamond,6x6x6,5,216,136,7,26,48,9016.43,31539456,3498,18,49,10050.2,862949376,85864,80,57,2.69208e-16,2540,8.56,80,57,5400,3430,6.35,21800,4.03,44.9121,763776,17006,80,49,4.17779e-16,6.53295e-16,5616,8.85848e-16,29376
